patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Chị Yến Hoàng,823910929567,1948,0989423974,user_04f9a03086fa4b258f18114d303a10f9@anon.medviet.local,"3 Jane Ngõ
Thị xã JohnXã, 315288",Huyết áp cao,6.95,Quý cô Xuân Đặng,31/01/2026
35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,Hà Bùi,323599570497,2001,0956050581,user_a516c97ce4bf4b0c8de9fb0bda8543c4@anon.medviet.local,"29 Jane Số
Thị xã JaneThị xã, 351931",Tiểu đường,9.86,Nhật Dương,25/01/2026
e623a689-5d59-4d2a-8eea-04e70ab54bde,Cô Linh Nguyễn,353811929424,1963,0745295658,user_fd41dcff99384b16beb69fe8b1fb8fb2@anon.medviet.local,"38 John Làng
Quận JohnHuyện, 368442",Tiểu đường,8.76,Quý ông Trọng Trần,31/01/2026
61ee411a-1bac-47a7-b386-f7a4c991603f,Cô Ngọc Trần,279691093335,1965,0962925529,user_17c06833571d43038e11754cbde20223@anon.medviet.local,"074 Jane Dãy
JaneQuận, 989493",Tiểu đường,8.07,Hải Bùi,23/01/2026
2db69edb-42de-4fcc-b86c-2ca2e08596db,Vi Nguyễn,633943313783,1994,0815939966,user_ebdd4b962501457eb3725f52e7a7efdb@anon.medviet.local,"13 Jane Dãy
Quận JaneThành phố, 982275",Tiểu đường,9.81,Bà Phương Lê,02/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Cô An Mai,779243770962,1961,0836079654,user_4edd44dd8d3f41f2be0531167d65b236@anon.medviet.local,"25 Lê Làng
JohnQuận, 314458",Khỏe mạnh,8.19,Cô Mai Trần,02/02/2026
83f4a9a9-48a6-49d0-95b5-2908a8aa7158,Khoa Hữu Mai,603312224882,1965,0874795046,user_bbb6a021a35c4b249f1cc069ad13e653@anon.medviet.local,"469 Phạm Dãy
JohnXã, 192274",Tiểu đường,6.51,Bảo Nguyễn,12/02/2026
b227462c-f53d-4330-8dda-24ba2d06e8cf,Bác Khoa Trần,671530995196,1951,0893068032,user_bbbd99084bb1485eb979bbd80d909033@anon.medviet.local,"19 Jane Làng
Thành phố JohnHuyện, 963755",Khỏe mạnh,6.47,Thành Thế Nguyễn,05/04/2026
709b7d97-464c-44af-bd3f-3799a07295e9,Khoa Thị Bùi,450347159627,1967,0766691183,user_e9a7e83bba214c2c9d69089c5ce9d9ea@anon.medviet.local,"08 John Dãy
JohnPhường, 525227",Tiểu đường,8.57,Nhật Phạm,04/01/2026
9360715f-c3fe-4183-a172-b725db52ca58,Ông Trọng Hoàng,657945624918,1976,0981802509,user_1fafe80891374729ab66ca7792059200@anon.medviet.local,"28 Lê Đường
JaneThành phố, 865934",Tim mạch,9.14,Cô Lâm Trần,25/01/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Lâm Trí Hoàng,513512241768,1993,0767608380,user_9c556e453b564a9483c5f44d26e099c2@anon.medviet.local,"71 John Tổ
JohnQuận, 999120",Tim mạch,5.29,Tùng Mai Bảo Mai,07/05/2026
a6d964a3-f510-4b53-87fe-e39f1190f938,Dũng Mai Bảo Lê,275890986851,1969,0993628247,user_a4c9a9c678fb4f2384479b10df9a6b5f@anon.medviet.local,"13 Bùi Tổ
JohnXã, 102878",Tiểu đường,3.89,Nam Mai,21/01/2026
4fdc6e1b-edcb-4cb6-8692-dc639424aed5,Huy Vũ,236334851862,1968,0511805291,user_0f9cb02cb98745efbd41c0956c719b9b@anon.medviet.local,"66 Lê Tổ
JohnThành phố, 778625",Huyết áp cao,11.3,Châu Bùi,04/02/2026
a6846099-f729-4951-8591-31d2bbda0242,Thành Hoàng Vũ,619163462382,2001,0863208317,user_3a76f25cc0934896bcfaef7e5f625b04@anon.medviet.local,"84 Mai Dãy
JohnXã, 455927",Khỏe mạnh,8.83,Quý cô Hải Trần,10/03/2026
4797b2c9-5720-4246-8223-623bcc3ebdde,Hải Nguyễn,778477899895,2005,0575575686,user_3ade08c6f3654c1c9b68c06ed2f5a1a7@anon.medviet.local,"36 John Tổ
Huyện JohnXã, 149401",Khỏe mạnh,7.03,Bảo Thế Đặng,13/03/2026
58007c02-87ea-4ff5-8db0-674679279973,Lâm Thế Đặng,120922345460,1997,0363127424,user_23c915352f524fd7a1944a1803a7c73e@anon.medviet.local,"Huyện JohnXã
3 John Số, 794648",Khỏe mạnh,3.75,Hà Hoàng,03/01/2026
4639447b-2067-4dac-88bd-13d1b540b30e,Mai Bùi,945264133433,1975,0896288351,user_ebbdfca389034b478b1982f3e3901d3e@anon.medviet.local,"6 Jane Số
JohnThị xã, 811950",Huyết áp cao,7.36,Lâm Hoàng Phạm,30/01/2026
f2f9e5fa-9016-4161-8fa7-01cd2631d00b,Nhiên Hoàng,553875312113,1951,0552546276,user_68627ac06cf44d9db816eca3f6fcb25e@anon.medviet.local,"59 Bùi Dãy
JohnQuận, 661890",Huyết áp cao,7.53,Phúc Nguyễn,03/02/2026
00af5b3a-2812-459a-9337-739e8d4f5d27,Cô Phương Bùi,337994087766,1939,0311041135,user_6896af9fad0d4f348318cf1d715fe9bf@anon.medviet.local,"25 Lê Làng
JohnHuyện, 886161",Huyết áp cao,4.37,Hà Vũ,12/01/2026
9854ce4e-4ebf-45c3-8ae9-b4a72a79ea68,Quý cô Vân Đặng,314029412155,1999,0917222931,user_1c2d3fe40d9545d5932c13b75e2be7ba@anon.medviet.local,"528 John Làng
JaneHuyện, 922615",Huyết áp cao,9.74,Cô Hồng Bùi,22/04/2026
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Hồng Dương,721002110079,1994,0951493057,user_06ba43d8b67c45eeb7f27705e8aa5078@anon.medviet.local,"08 John Số
JaneThị xã, 938501",Tim mạch,5.05,Xuân Hoàng,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Châu Trần,167760358208,1998,0830066853,user_62e39691f894449d8987f0d2ab4a0de4@anon.medviet.local,"658 Phạm Làng
JohnXã, 720485",Tiểu đường,6.0,Bà Dương Hoàng,16/02/2026
8d03c91e-4f8d-4238-a88b-78b5b5b453ca,Ông Vũ Trần,318372787231,1948,0705962299,user_ce975f52bd334e01a850361329477fe5@anon.medviet.local,"9 John Hẻm
JaneHuyện, 215336",Tiểu đường,9.81,Hoàng Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Vi Dương,759337280179,1981,0938417635,user_de94e1452e694e1b953c4a49145c87ad@anon.medviet.local,"46 Jane Tổ
Thành phố JohnQuận, 481361",Tiểu đường,8.2,Quý cô Hồng Vũ,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Quý cô Khoa Phạm,601311274553,1940,0753869854,user_6dc27313cc834f6c800edbc23d8492d8@anon.medviet.local,"08 Jane Hẻm
JaneThành phố, 464350",Huyết áp cao,4.77,Ánh Hoàng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Quý cô An Trần,963561205091,1967,0340442438,user_e00c61ba3864487d99e4e6b322fe4f2c@anon.medviet.local,"19 Mai Số
JohnHuyện, 213703",Tiểu đường,8.68,Chị Hạnh Lê,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Quý cô An Dương,660300753534,1968,0784311357,user_48bc6951cd7f414b8316327230969b89@anon.medviet.local,"479 Lê Khu
Thị xã JohnXã, 563485",Khỏe mạnh,4.11,Quý cô Linh Nguyễn,28/02/2026
da743152-627b-41a1-bfd6-f23232ffe294,Quý cô Xuân Hoàng,398328997917,1984,0786698859,user_5b879083677c4f4d83233538d22b5e99@anon.medviet.local,"469 Jane Khu
Thị xã JohnPhường, 874350",Tim mạch,9.45,Hải Đức Đặng,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Thảo Đặng,375902380120,1979,0827415550,user_c9ca9b490987467a92d302a9722de574@anon.medviet.local,"302 Jane Khu
Thành phố JaneQuận, 161163",Huyết áp cao,7.5,Huy Tấn Đặng,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Quý ông Trung Nguyễn,922708669756,1989,0759155460,user_9768e865bcd044688817ed6ce2db4967@anon.medviet.local,"54 Lê Ngõ
Huyện JohnXã, 989317",Khỏe mạnh,4.25,Cô Ánh Nguyễn,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Vũ Phạm,199392519694,1954,0342757928,user_130d091d223e41eb9d794d3daeb5a32e@anon.medviet.local,"929 Mai Đường
JohnQuận, 501572",Tim mạch,7.22,Trung Lê,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Chị Lan Phạm,823487297063,1967,0919458930,user_2d7fae9a357c49b2abe7c95b1055415b@anon.medviet.local,"38 Dương Ngõ
Quận JaneHuyện, 323563",Khỏe mạnh,10.6,Nhật Xuân Phạm,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Thành Đặng,821121896985,1935,0731417357,user_f0741df4d0f2455bb5af4129b078d0db@anon.medviet.local,"975 Hoàng Số
JohnQuận, 708205",Khỏe mạnh,10.85,Mai Đặng,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Nhiên Hữu Vũ,429605588451,1950,0782909143,user_412cfef9d7c74d9ba9eb0bd077f51e94@anon.medviet.local,"54 Jane Khu
JohnPhường, 917653",Huyết áp cao,7.71,Thành Bùi,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Chị Vân Nguyễn,368265476013,2004,0877196058,user_6b70e905304f4626a19316b6b634b356@anon.medviet.local,"688 John Làng
JohnHuyện, 336913",Tim mạch,10.74,Ông Khoa Đặng,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Anh Thị Mai,233940440990,1948,0595252568,user_95365ba24b324cc19331fda6403fca61@anon.medviet.local,"Thị xã JohnThị xã
909 Jane Tổ, 738984",Tiểu đường,5.99,Hải Nguyễn,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Bác Quang Đặng,405195677362,1983,0894123323,user_740903c7da214bd383d457ce011576bf@anon.medviet.local,"4 John Số
Huyện JaneThị xã, 746946",Khỏe mạnh,5.67,Quý cô Vân Lê,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Chị Hạnh Mai,430018913499,1964,0349237896,user_26a5d7a34e0149dbaea3c726e3a17abd@anon.medviet.local,"01 Nguyễn Đường
Quận JanePhường, 757200",Tim mạch,8.39,Vân Phạm,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Lâm Phú Mai,646169760988,2001,0320659256,user_087ebe906fba43de9dbc35f6ddb31504@anon.medviet.local,"613 John Tổ
Thành phố JohnThị xã, 200157",Khỏe mạnh,3.78,Thảo Bùi,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Thành Mai Bảo Lê,722755698228,1994,0564486600,user_6a9881a25611437f91382f247b8808f7@anon.medviet.local,"5 Phạm Làng
JaneHuyện, 109112",Tiểu đường,4.7,Cô Mai Vũ,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Chị Nhật Nguyễn,520187907423,1981,0845061413,user_f214cf12253341eba5ac1312b8a0ee72@anon.medviet.local,"8 Jane Làng
Thành phố JaneHuyện, 812706",Tim mạch,11.28,Hương Dương,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Quý cô Hải Mai,642852085234,1996,0539808629,user_bbd8967e608b458699d9f64721b45a9f@anon.medviet.local,"75 Đặng Tổ
Thị xã JohnQuận, 602848",Huyết áp cao,11.03,Minh Phạm,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Yến Trần,471764911786,2004,0952836870,user_8e4aa38b5a9541aba438b84e93779988@anon.medviet.local,"61 Jane Số
Thị xã JaneQuận, 521191",Khỏe mạnh,4.28,Châu Bùi,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Ánh Bùi,226555711941,1988,0785229874,user_1b9f7c8314954884a762d3a4b8e11909@anon.medviet.local,"736 John Tổ
JohnThành phố, 236860",Huyết áp cao,8.09,Bác Tú Dương,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Cô Vân Phạm,548126086658,1980,0357538387,user_11046e49d79543b38d44922e556d3472@anon.medviet.local,"9 John Số
JohnPhường, 517898",Tiểu đường,7.34,Ông Tú Mai,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Khoa Lê,656259208577,1959,0799585377,user_4173330333e44858ae15a51453a49652@anon.medviet.local,"09 Jane Khu
Thị xã JohnXã, 583432",Tim mạch,8.81,Cô Thảo Bùi,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Bảo Hải Lê,425063696757,1942,0943673211,user_c1b73167c0b942fab99ac56fc99a0b3d@anon.medviet.local,"64 Trần Số
JaneHuyện, 452318",Khỏe mạnh,7.04,Quý cô Kim Lê,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Ông Nam Trần,331492336060,1939,0700187805,user_d273cea21b7f4c9fbc4c27cc48550599@anon.medviet.local,"8 Lê Hẻm
Quận JohnPhường, 321830",Tim mạch,9.2,Ông Anh Dương,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Chị Vân Bùi,776388261852,1950,0842464953,user_502733b91c984415abc86ec652f25c4b@anon.medviet.local,"047 John Làng
JohnQuận, 532057",Huyết áp cao,10.36,Bà Thành Nguyễn,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Hạnh Vũ,619375157685,1941,0594961533,user_5152a7dd409b432d886df42657b3ab78@anon.medviet.local,"JohnQuận
2 Jane Hẻm, 627908",Tiểu đường,9.84,Quang Dương,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Quý cô Kim Dương,493618259161,1941,0358721670,user_2d00cdbda1994c81af0857fe9cfce5b2@anon.medviet.local,"2 Dương Dãy
JaneQuận, 848183",Khỏe mạnh,8.66,Quý cô Hải Nguyễn,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Cô Thành Đặng,545393448358,1946,0352026399,user_d1a23cb6b7a046f3bacfc2524ecfb000@anon.medviet.local,"3 Jane Làng
JohnHuyện, 906463",Huyết áp cao,10.02,Bà Bảo Bùi,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Quý cô Thảo Đặng,588641528116,1984,0799566765,user_0a35d206ca2041f2bf6fa6c1c5c166ab@anon.medviet.local,"3 Mai Dãy
Thị xã JohnQuận, 685007",Tiểu đường,10.83,Hà Phú Dương,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Thành Hoàng Bùi,913013704991,1938,0561256789,user_32266883a7c54bdeb5e6e0bb4bb1edc7@anon.medviet.local,"1 Jane Ngõ
JaneHuyện, 674131",Tiểu đường,6.86,Chị Ánh Hoàng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Lan Hoàng,204227745070,1959,0562786718,user_88443b43dd0c4a2695a14a5c02b88e8a@anon.medviet.local,"12 Dương Khu
Huyện JaneThành phố, 490935",Huyết áp cao,9.96,Anh Châu Trần,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Bà Bảo Lê,393122923620,2005,0963807315,user_0c31a2f829314b56b00aaec7a5854fbd@anon.medviet.local,"23 Jane Khu
Thành phố JohnXã, 482864",Tiểu đường,6.14,Thành Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Anh Nguyễn,249006148152,2007,0508120362,user_84800701afb54ea0bb31a87bc8810603@anon.medviet.local,"790 Jane Làng
JaneQuận, 859733",Huyết áp cao,11.64,Quý cô Nhật Hoàng,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Kim Lê,127590554994,1945,0532951979,user_21bf00300bef40fda8c89d602d22e66b@anon.medviet.local,"2 Jane Đường
JohnThị xã, 168409",Tiểu đường,10.21,Chị Duyên Hoàng,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Nhật Hoàng,881555129499,1987,0711512395,user_e4045326dbbb4dfb8213c2af91e980f2@anon.medviet.local,"03 Jane Ngõ
Thành phố JohnThị xã, 917244",Khỏe mạnh,8.97,Quý cô Hồng Nguyễn,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Chị Bảo Trần,316181416665,1949,0928262861,user_f2fe86404e9f448693cbb8dc917cef5b@anon.medviet.local,"82 Jane Tổ
JaneThành phố, 315976",Tiểu đường,9.13,Bác Tùng Trần,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Ông Tú Vũ,445309450227,1962,0944825443,user_d5cefa27207b4fa18e99c7f039d57da2@anon.medviet.local,"47 Jane Dãy
JohnPhường, 478279",Tim mạch,11.71,Quý cô Chi Vũ,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Nhật Mai Phạm,394847086383,1985,0593288602,user_aeaafa927f6c4e56be0ab8571fe29a2b@anon.medviet.local,"8 Nguyễn Đường
Huyện JohnHuyện, 382144",Tiểu đường,5.92,Bảo Quang Trần,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Bà Hồng Mai,331657364746,1992,0327911086,user_402a4e6a8f66441b926561660e66ee51@anon.medviet.local,"7 John Khu
Thị xã JanePhường, 531744",Tiểu đường,6.21,Bà Yến Trần,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Quý ông Minh Bùi,806988312048,1975,0992954392,user_a94fb999f9e3406da437fef27ac8d95e@anon.medviet.local,"90 Mai Dãy
Thị xã JanePhường, 964988",Tiểu đường,10.1,Phương Hoàng Trần,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Nhiên Nguyễn,750196692544,1962,0939303473,user_ad45505af5c24824bd808aa369835aa6@anon.medviet.local,"0 Hoàng Đường
Huyện JanePhường, 104229",Tim mạch,5.54,Tú Mai,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Hà Dương,253661670456,2000,0749853739,user_379f175764e64aaca7a0a7f73745f3ee@anon.medviet.local,"6 Lê Số
JaneHuyện, 148690",Tim mạch,5.55,Nhật Trí Đặng,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,An Nguyễn,890876655574,1997,0554922966,user_3e6d219c5d384c8eae47f910fdba2a3f@anon.medviet.local,"08 John Khu
Huyện JohnQuận, 279578",Tim mạch,11.43,Cô Hà Mai,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Chị Kim Trần,909035721594,2000,0572107588,user_71b489a8511e439fabdf959780090fba@anon.medviet.local,"8 Jane Đường
JaneQuận, 997309",Khỏe mạnh,6.62,Bác Hưng Trần,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Quý cô Hương Bùi,868865019566,1965,0939357444,user_ea40bd4392d647d293f28d9bd32129be@anon.medviet.local,"66 Jane Hẻm
JaneQuận, 974183",Tim mạch,7.3,Cô Lâm Mai,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Lan Vũ,356372822462,1951,0860186530,user_87716af28960424a96348c66f8d5fb62@anon.medviet.local,"6 Nguyễn Dãy
JaneQuận, 547289",Tiểu đường,8.64,Trọng Dương,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Xuân Hoàng,267490995765,1944,0957577651,user_6c6223adf425450c898c2c9679310a85@anon.medviet.local,"2 John Làng
JohnHuyện, 203549",Tim mạch,10.09,Bà Xuân Nguyễn,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Vân Bùi,517675395001,1975,0851044437,user_6afc4fad3cab4043a6c1800572771044@anon.medviet.local,"89 Đặng Ngõ
Quận JohnXã, 585533",Huyết áp cao,10.25,Mai Phạm,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Dũng Phú Nguyễn,194620205149,1990,0566441712,user_a6d499edfb0840ed82ca1f0d4b7e7d18@anon.medviet.local,"786 John Số
JaneHuyện, 857156",Khỏe mạnh,10.04,Dũng Quang Trần,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô An Vũ,581364137802,1941,0523435473,user_ad2ac8ba49a04cad9100de85458eb5f5@anon.medviet.local,"2 Nguyễn Tổ
Quận JaneThành phố, 909117",Huyết áp cao,4.88,Nhiên Thị Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Hạnh Lê,686824314835,1947,0303123166,user_15b423c2274d45808a6085da11a6b23c@anon.medviet.local,"96 Nguyễn Khu
Thị xã JaneXã, 868624",Tim mạch,10.66,Phương Phạm,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Cô Mai Dương,776547622223,1987,0863099135,user_ea0caab2b4a247febe6f4488570ffb24@anon.medviet.local,"58 Jane Tổ
JanePhường, 821550",Tiểu đường,9.35,Tùng Bảo Trần,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Phương Thế Mai,426780442184,1980,0753135137,user_9eb7415ff85d46f686e56d02c8663016@anon.medviet.local,"0 John Hẻm
JaneHuyện, 486081",Tiểu đường,5.77,Khoa Mai,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Quý cô Chi Vũ,863426129805,1966,0857098014,user_8c0d227276da420d98504ae44c16e317@anon.medviet.local,"7 John Hẻm
JaneHuyện, 311842",Tiểu đường,4.27,Phương Đức Hoàng,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Chị Linh Lê,978300709608,2006,0572148286,user_1d6547de1b4545ba982e03a1c325c2ce@anon.medviet.local,"1 Jane Khu
JanePhường, 934536",Khỏe mạnh,6.61,Vi Vũ,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Hải Nguyễn,771530935305,1946,0702941426,user_856ce5d9664f4967bc40245a439a4e02@anon.medviet.local,"983 Jane Đường
Thành phố JaneHuyện, 844251",Tim mạch,8.24,Bảo Lê,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Dương Dương,307293417014,1954,0302122347,user_c9af2fb339834c6bbb91d384e578ceb7@anon.medviet.local,"552 Jane Ngõ
Huyện JohnThị xã, 185041",Tim mạch,4.88,Anh Châu Nguyễn,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Lâm Tấn Vũ,190748765115,2002,0348819577,user_a36113cf82f1493988dc712edb9899c1@anon.medviet.local,"35 Đặng Hẻm
Thành phố JohnHuyện, 700058",Tim mạch,11.72,An Hoàng,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Khoa Bùi,209030398326,1947,0708980449,user_ab266c26caee47cdbc80e731283fa59a@anon.medviet.local,"21 John Làng
Thị xã JaneQuận, 629667",Khỏe mạnh,9.37,Nhật Trí Đặng,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Bà Vân Dương,414910540837,1976,0330587532,user_bc529ff69fc24b8bb712ce6815ef0d88@anon.medviet.local,"3 Jane Ngõ
Thành phố JohnQuận, 843991",Khỏe mạnh,5.13,Minh Mai Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Xuân Trần,207548671225,1953,0545140009,user_d0897339e1d842f7870af761ca25e841@anon.medviet.local,"2 John Đường
JaneThị xã, 927501",Huyết áp cao,5.97,Nhật Thị Dương,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý ông Trung Bùi,424767622483,1944,0301563503,user_b77896695bb949e5829421190f83bbb6@anon.medviet.local,"0 John Tổ
JohnThị xã, 193002",Huyết áp cao,3.95,Vi Đặng,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Quý cô Kim Trần,647198029821,1957,0760396682,user_fb17134039894a44b3d74d820a30698e@anon.medviet.local,"8 Trần Làng
Thành phố JohnThị xã, 131425",Huyết áp cao,7.05,Bảo Văn Phạm,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hạnh Mai Vũ,935471521689,1982,0828903282,user_e02ee864360341b3baf15d94a5ce8117@anon.medviet.local,"18 Đặng Khu
Huyện JohnPhường, 923636",Tim mạch,5.14,Nam Vũ,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Cô Vi Nguyễn,995926911266,1960,0773027017,user_a26bca10c6a3435d89ef90ecd4b9e71b@anon.medviet.local,"8 John Làng
JaneThành phố, 733885",Huyết áp cao,7.56,Ông Hưng Mai,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Thành Đặng,780572721129,1988,0999107119,user_b7b07fe4e3d04b878326619c881e0675@anon.medviet.local,"5 John Khu
Thành phố JaneXã, 458443",Tim mạch,9.37,Phương Văn Mai,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Vân Đặng,701994089081,1958,0816594495,user_58b32ea856dd4b64bb481f2fc96a358d@anon.medviet.local,"34 John Hẻm
JaneXã, 767536",Tim mạch,4.16,Quý cô Yến Mai,28/03/2026
